id,problem name,description,constraints,examples,difficulty level,date-time
1,Lucky Ticket Number,"In a bus ticketing system, a ticket is considered lucky if the sum of its first three digits equals the sum of its last three digits. Determine if a six-digit ticket number is lucky.",Input is a six-digit positive integer (100000 ≤ N ≤ 999999).,"[
  {
    ""input"": ""123420"",
    ""output"": ""Lucky"",
    ""explanation"": ""Sum of first three digits (1+2+3=6) equals sum of last three digits (4+2+0=6).""
  },
  {
    ""input"": ""123456"",
    ""output"": ""Not Lucky"",
    ""explanation"": ""Sum of first three digits (1+2+3=6) ≠ sum of last three digits (4+5+6=15).""
  }
]",Easy,
2,Traffic Light Scheduler,"A city’s traffic light system cycles through green, yellow, and red phases with fixed durations (in seconds). Given a time t (in seconds) since the cycle started, determine the light’s color. The cycle is: green for g seconds, yellow for y seconds, red for r seconds, repeating indefinitely.","1 ≤ g, y, r ≤ 100; 0 ≤ t ≤ 10^9","[
  {
    ""input"": ""g = 5, y = 2, r = 3, t = 8"",
    ""output"": ""Yellow"",
    ""explanation"": ""One cycle is 10 seconds (5 + 2 + 3). At t = 8, we’re in the first cycle (8 mod 10 = 8). From 0-5 is green, 5-7 is yellow, 7-10 is red. At t = 8, it’s yellow.""
  },
  {
    ""input"": ""g = 4, y = 1, r = 5, t = 15"",
    ""output"": ""Green"",
    ""explanation"": ""Cycle length is 10 seconds. At t = 15, 15 mod 10 = 5. From 0-4 is green, 4-5 is yellow, 5-10 is red. At t = 5, it’s green (just after yellow).""
  }
]",Easy,
3,Festival Game Points,"In a festival game, players earn points based on their moves, where each move has a score. If the score is even, they double it; if odd, they add 1. The game ends after k moves or if the total points reach a target m. Given a starting score s, number of moves k, and target m, determine if the target can be reached within k moves.",1 ≤ s ≤ 1000; 1 ≤ k ≤ 100; 1 ≤ m ≤ 10^6,"[
  {
    ""input"": ""s = 3, k = 3, m = 8"",
    ""output"": ""Yes"",
    ""explanation"": ""Start with 3 (odd, so 3 + 1 = 4). Next, 4 (even, so 4 * 2 = 8). Total is 8, which reaches m = 8 within 2 ≤ 3 moves.""
  },
  {
    ""input"": ""s = 1, k = 2, m = 10"",
    ""output"": ""No"",
    ""explanation"": ""Start with 1 (odd, so 1 + 1 = 2). Next, 2 (even, so 2 * 2 = 4). Total is 4 < 10, and only 2 moves are allowed, so the target cannot be reached.""
  }
]",Easy,
4,Elevator Floor Stops,An elevator stops at floors where the product of the digits of the floor number is even. Check if the elevator stops at a given floor.,1 ≤ N ≤ 999,"[
  {
    ""input"": ""24"",
    ""output"": ""Stops"",
    ""explanation"": ""Product of digits (2 × 4 = 8) is even.""
  },
  {
    ""input"": ""11"",
    ""output"": ""Does Not Stop"",
    ""explanation"": ""Product of digits (1 × 1 = 1) is odd.""
  }
]",Easy,
5,Festival Light Pattern,"During a festival, lights are lit at positions where the position number is only divisible by 1 and itself. Count how many lights are lit in a given range of positions.",1 ≤ Start ≤ End ≤ 100,"[
  {
    ""input"": ""Start = 1, End = 10"",
    ""output"": ""4"",
    ""explanation"": ""Lights at positions 2, 3, 5, 7 are lit (as they are only divisible by 1 and themselves).""
  },
  {
    ""input"": ""Start = 4, End = 6"",
    ""output"": ""2"",
    ""explanation"": ""Lights at 5 are lit; 4 and 6 are divisible by other numbers (e.g., 2).""
  }
]",Easy,
6,Password Strength Checker,A system accepts a password if its numeric value equals the sum of the cubes of its digits. Check if a given number is a valid password.,1 ≤ N ≤ 1000,"[
  {
    ""input"": ""153"",
    ""output"": ""Valid"",
    ""explanation"": ""1³ + 5³ + 3³ = 1 + 125 + 27 = 153.""
  },
  {
    ""input"": ""123"",
    ""output"": ""Invalid"",
    ""explanation"": ""1³ + 2³ + 3³ = 1 + 8 + 27 = 36 ≠ 123.""
  }
]",Easy,
7,Bus Route Planner,A bus ticket price is valid if the distance is part of a sequence where each number is the sum of the two previous ones (starting with 0 and 1). Check if a given distance is a valid ticket price.,1 ≤ N ≤ 1000,"[
  {
    ""input"": ""5"",
    ""output"": ""Valid"",
    ""explanation"": ""Sequence is 0, 1, 1, 2, 3, 5, 8, …; 5 is in the sequence.""
  },
  {
    ""input"": ""6"",
    ""output"": ""Invalid"",
    ""explanation"": ""6 is not in the sequence.""
  }
]",Easy,
8,Clock Synchronization,A digital clock displays numbers where the sum of the digits is divisible by 3. Check if a given number can be displayed on the clock.,1 ≤ N ≤ 9999,"[
  {
    ""input"": ""123"",
    ""output"": ""Displayable"",
    ""explanation"": ""Sum of digits (1+2+3=6) is divisible by 3.""
  },
  {
    ""input"": ""124"",
    ""output"": ""Not Displayable"",
    ""explanation"": ""Sum of digits (1+2+4=7) is not divisible by 3.""
  }
]",Easy,
9,Parking Lot Counter,"A parking lot assigns open slot numbers that are triangular numbers — numbers that can be represented as the sum of the first k positive integers (i.e., 1 + 2 + 3 + ... + k). You are given a slot number N. Determine whether this slot number is open or not open.",1 ≤ N ≤ 1000,"[
  {
    ""input"": ""10"",
    ""output"": ""Open"",
    ""explanation"": ""10 = 1+2+3+4, so it is open.""
  },
  {
    ""input"": ""11"",
    ""output"": ""Not Open"",
    ""explanation"": ""11 cannot be expressed as a sum of consecutive integers starting from 1.""
  }
]",Easy,
10,Festival Banner Code,A festival uses banner codes that are valid if the code is divisible by all its non-zero digits. Check if a given code is valid.,1 ≤ N ≤ 1000,"[
  {
    ""input"": ""12"",
    ""output"": ""Valid"",
    ""explanation"": ""12 is divisible by 1 and 2.""
  },
  {
    ""input"": ""13"",
    ""output"": ""Invalid"",
    ""explanation"": ""13 is divisible by 1 but not by 3.""
  }
]",Easy,
